Titre;Date de sortie;D�veloppeur;Editeur;Genres;Franchise;Note Moyenne;Plateformes
Pixel Paint Together;May 8, 2024;Jofer's Games;Jofer's Games;Puzzle;;0;PC
Robot Trivia Funtime;May 9, 2024;Silicon Kiwi;;Trivia/Board Game;;0;Linux, PC
Farlands Journey;May 10, 2024;spell pie;Desert Water Games , Sometimes You;Platformer;;0;Nintendo Switch, PC, PlayStation 4, Xbox One, Xbox Series X|S
Retrowave World;May 10, 2024;;;Action , Adventure , Driving/Racing;;0;PC
Anno 1800 - Steampunk Pack;May 12, 2024;;;;;0;PC
Robobeat;May 14, 2024;Simon Fredholm;Kwalee;First-Person Shooter , Music/Rhythm;;0;PC
Baladins;May 15, 2024;;;;;0;PC
Deep Beyond;May 15, 2024;Avix Games;Avix Games;Adventure;;0;PC
Cozy Caravan;May 16, 2024;5 Lives Studios;5 Lives Studios;;;0;PC
Hexahedra;May 16, 2024;;;Educational , Puzzle , Simulation;;0;Linux, PC
Masters of Light;May 16, 2024;Albyon;Coven;Action-Adventure;;0;Meta Quest, PC, PlayStation 5
Ultimate Swing Golf;May 16, 2024;Clap Hanz Ltd,;Clap Hanz Ltd,;Golf;;0;Meta Quest
Archaeogem;May 17, 2024;Gagonfe;Gagonfe;Adventure;;0;PC
Hidden Through Time 2 Discovery;May 17, 2024;;;Puzzle;;0;Android, Mac, Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Hidden Through Time 2: Discovery;May 17, 2024;;;Puzzle;;0;Mac, Nintendo Switch, PlayStation 5, Xbox Series X|S
Voyager-19;May 19, 2024;;;Horror;;0;PC
Coffee Caravan;May 20, 2024;Happy Broccoli Games;Happy Broccoli Games;Simulation;;0;PC
Margoq's Lair;May 20, 2024;;;Action , Role-Playing;;0;PC
Yolk Heroes: A Long Tamago;May 20, 2024;;Astrolabe Games;;;0;PC
Necromantic;May 22, 2024;Blinkmoon Games;Blinkmoon Games;Action-Adventure , Role-Playing;;0;PC
C,A,R,D,S, RPG: The Misty Battlefield;May 23, 2024;Acquire;Acquire;Card Game , Role-Playing , Strategy;;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Earth Defense Force: World Brothers 2;May 23, 2024;Yuke's Co, Ltd,;D3 Publisher Inc,;Shooter;Earth Defense Force;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Get Waffles At The Store 2;May 23, 2024;Blue Portal Games;;Puzzle;;0;PC
Kid Pilot;May 23, 2024;Flamingo Simulation Systems;Flamingo Simulation Systems;Flight Simulator;;0;PC
Starstruck Vagabond;May 24, 2024;;;Adventure;;0;PC
Yakuza Rogue: Yokohama massage parlor chapter;May 24, 2024;;;Role-Playing , Simulation;;0;PC
Final Profit: A Shop RPG;May 26, 2024;;;;;0;PC
Deep Dark Wrath;May 27, 2024;;CraftedCircuitry;Action , Adventure , Role-Playing;;0;Android, PC
Enigma Quest;May 27, 2024;;;Adventure , First-Person Shooter , Puzzle , Simulation;;0;Android, PC
Akumajō Dracula/Quoth Deluxe Pack;May 30, 2024;Konami Corporation;Zuiki;Compilation;Castlevania;0;
Baisu;May 30, 2024;;;Horror;;0;PC
Flathead;May 30, 2024;;;Gambling , Horror , Puzzle;;0;PC
The Black Within;May 30, 2024;;;Horror;;0;PC
Tokyo psychodemic;May 30, 2024;Gravity Game Arise;Gravity Game Arise;Simulation;;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Umbraclaw;May 30, 2024;Inti Creates Co,, Ltd,;Inti Creates Co,, Ltd,;Action , Platformer;;0;Nintendo Switch, PC
WiZmans World Re:Try;May 30, 2024;Lancarse;City Connection;Role-Playing;WiZmans World;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One
Panicore;May 31, 2024;;;Action , Adventure , Horror;;0;PC
Godless;Jun 3, 2024;Danil Kalyupa;Danil Kalyupa;Strategy;;0;PC
Nightmare Files: Clap Clap;Jun 3, 2024;;;Adventure , Horror , Puzzle;;0;PC
Tamarindos Freaking Dinner;Jun 3, 2024;Celery Emblem;Celery Emblem , Neon Doctrine;Action;;0;Mac, PC
City Legends The Witness in the Rye Collectors Edition;Jun 4, 2024;;;Adventure , Puzzle;;0;Mac, PC
Fireside;Jun 4, 2024;;Nordcurrent;Adventure , Strategy;;0;Mac, Nintendo Switch, PC
Fix It The Handyman Simulator;Jun 4, 2024;VIS-Games;Aerosoft GmbH;Simulation;;0;PC
Hotel Business Simulator;Jun 4, 2024;;Midnight Games;Role-Playing , Simulation , Strategy;;0;PC
Splodey;Jun 4, 2024;Send It Studios;Mad Mushroom;Platformer;;0;PC
Journey of Wrestling;Jun 5, 2024;Clean Bean Studios;Clean Bean Studios;Simulation , Wrestling;;0;PC
Blockbuster Inc,;Jun 6, 2024;Super Sly Fox;Ancient Forge;Simulation , Strategy;;0;PC
DETECTIVE - Minerva Case;Jun 6, 2024;k148 Game Studio;k148 Game Studio;Adventure , Puzzle;;0;PC, PlayStation 5, Xbox One, Xbox Series X|S
Kristala;Jun 6, 2024;Astral Clocktower Studios;Astral Clocktower Studios;Action , Role-Playing;;0;Mac, Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Tour de France 2024;Jun 6, 2024;Cyanide Studio;Bigben Interactive GmbH;Driving/Racing;Le Tour de France;0;PC, PlayStation 5, Xbox Series X|S
Classic NES Series: Pac-Man;Jun 7, 2024;;;;;0;Game Boy Advance
Dragon Is Dead;Jun 7, 2024;TeamSuneat;;;;0;
Forgotten Seas;Jun 7, 2024;Pangea Game Studios;indie,io;Action-Adventure , Simulation;;0;PC
Pretty Coo';Jun 7, 2024;dollopop;;Adventure;;0;PC
Star Stuff;Jun 7, 2024;Ánimo Games Studio;Astra Logical;Puzzle;;0;Mac, PC
The Amazing Crackpots Club!;Jun 8, 2024;Astrobard Games , IguanaBee;IguanaBee;Fighting , Platformer;;0;PC
The Palace on the Hill;Jun 8, 2024;Niku Games;Niku Games;Simulation;;0;Mac, PC
Tracks of Thought;Jun 8, 2024;Tidbits Play;Tidbits Play , indie,io;;;0;PC
Anomaly Hunter - Observation Duty;Jun 11, 2024;;;Adventure , Simulation , Strategy;;0;PC
Willy's Wonderland: The Game;Jun 13, 2024;Mito Games;QuByte Interactive;Brawler;;0;Nintendo Switch, PC, PlayStation 4, Xbox One, Xbox Series X|S
Amazing Cruise Mediterranean;Jun 14, 2024;Big Fish Games;Lazy Turtle Games;Puzzle;;0;PC
JudgeSim;Jun 14, 2024;;;Simulation , Strategy;;0;PC
The Talos Principle II - Road to Elysium;Jun 14, 2024;Croteam Ltd,;Devolver Digital;Puzzle;;0;PC, PlayStation 5, Xbox Series X|S
Horror Tales: The Beggar;Jun 17, 2024;@CarlosGameDev;@CarlosGameDev;Adventure , Horror , Puzzle;;0;PC, PlayStation 5, Xbox Series X|S
Chocolate Factory;Jun 18, 2024;Tbjbu2;Tbjbu2;Simulation;;0;PC
First Dwarf;Jun 19, 2024;Star Drifters;Star Drifters;Action-Adventure , Role-Playing;;0;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Mushoku Tensei: Jobless Reincarnation - Quest of Memories;Jun 19, 2024;Lancarse;Bushiroad;Adventure , Role-Playing;;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Ale & Tale Tavern: First Pints;Jun 20, 2024;;GrabTheGames , UpgradePoint;Action-Adventure , Simulation;;0;PC
Clasherball;Jun 20, 2024;Sungrand Studios;Sungrand Studios;Action , Puzzle;;0;Android, Atari VCS, Nintendo Switch, PC, PlayStation Vita
Everafter Falls;Jun 20, 2024;;Akupara Games;Simulation;;0;Nintendo Switch, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Shapik: The Quest;Jun 20, 2024;;;Adventure;;0;PC
Megacopter Blades of the Goddess;Jun 21, 2024;;;;;0;PC
Noreya: The Gold Project;Jun 21, 2024;Dreamirl;Pixelheart;Action-Adventure;;0;PC
BFDI: Branches;Jun 22, 2024;Team Branches;;Action , Platformer;;0;PC
Southfield;Jun 24, 2024;Radical Forge;Radical Forge;Simulation;;0;PC
Uncover the Smoking Gun;Jun 24, 2024;ReLU Games;;;;0;
Cozy Grove: Camp Spirit;Jun 25, 2024;Spry Fox;Netflix;Simulation;Cozy Grove;0;Android, iPad, iPhone
Emberward;Jun 25, 2024;ReficGames;ReficGames;Strategy;;0;PC
Frogun Encore;Jun 25, 2024;Molegato;CouchPlay Interactive , Top Hat Studios, Inc;Platformer;;0;Linux, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Neptunia Riders VS Dogoos;Jun 26, 2024;Compile Heart, Inc,;Compile Heart, Inc, , Idea Factory International;Action , Driving/Racing;Hyperdimension Neptunia;0;Nintendo Switch, PlayStation 4, PlayStation 5
ama me (in incisis);Jun 26, 2024;;;Visual Novel;;0;PC
Pizza Hero;Jun 27, 2024;;;Action;;0;PC
Polity;Jun 27, 2024;Jib Games;Jib Games;MMORPG , Simulation;;0;Android, Mac, PC, iPhone
Spy*Anya: Operation Memories;Jun 27, 2024;Groove Box Japan;Namco Bandai Games Inc,;Adventure , Simulation;;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Gigantosaurus: Dino Sports;Jun 28, 2024;Infinigon;Outright Games;Minigame Collection , Sports;Gigantosaurus;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Rugby 25;Jun 28, 2024;Big Ant Studios Pty Ltd;Bigben Interactive GmbH;Sports;Rugby;0;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
BROKEN TAPE;Jun 29, 2024;;;Horror , Simulation;;0;PC
Airborne Empire;Jun 29, 2024;The Wandering Band;Stray Fawn Studio , The Wandering Band;Real-Time Strategy , Strategy;Airborne Kingdom;0;PC
Aloft;Jun 30, 2024;Astrolabe Interactive;Funcom;Adventure;;0;PC
BUS: Bro u Survived;Jun 30, 2024;Herbarium Games;Herbarium Games;Action;;0;PC
Deviator;Jun 30, 2024;;;;;0;
Fantastic Haven;Jun 30, 2024;Piece of Cake Studios;Goblinz Studio;Simulation , Strategy;;0;PC
Final Knight;Jun 30, 2024;2oclocksoft;Gravity;Action , Role-Playing;;0;PC
Hirocato - The Delivery Hero;Jun 30, 2024;Astero Games;Astero Games;Platformer;;0;Mac, PC
Inferni: Hope & Fear;Jul 1, 2024;Village Studio;Village Studio;Card Game;;0;PC
Pneumata;Jul 1, 2024;Deadbolt Interactive;Deadbolt Interactive , Perp Games;Action-Adventure;;0;PC
Rally 2011 Led Storm;Jul 1, 2024;;;Driving/Racing;;0;Arcade
Run From Mummies;Jul 1, 2024;Lost Turnip;Lost Turnip;Action;;0;Linux, Mac, PC
Sopa: Tale of the Stolen Potato;Jul 1, 2024;StudioBando;StudioBando;Action-Adventure;;0;PC
World's Worst Handyman;Jul 1, 2024;Baby Lumberjack;Baby Lumberjack;Adventure;;0;PC
Wrekless;Jul 1, 2024;Free Range Games;Free Range Games;Skateboarding;;0;PC
PowerWash Simulator, Alices Adventures Special Pack;Jul 2, 2024;;;Simulation;;0;PC
PowerWash Simulator, Alices Adventures Special Pack;Jul 2, 2024;;;Simulation;;0;PC
Seraphim Slum;Jul 2, 2024;rosesrot;angelrot games;Adventure , Text Adventure , Visual Novel;;0;Linux, Mac, PC
Eternal Fighters;Jul 4, 2024;;;Fighting;;0;PC
Ark of Charon;Jul 9, 2024;SunSoft , angoo Inc,;SunSoft;Real-Time Strategy , Strategy;;0;PC
Pokémon Frienda;Jul 11, 2024;Marvelous AQL , Takara Tomy;Takara Tomy;Card Game , Strategy;Pokémon;0;Arcade
Princess Maker 2: Regeneration;Jul 11, 2024;Bliss Brain;Bliss Brain;Simulation;Princess Maker;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Classic Marathon 2;Jul 12, 2024;;;Action , First-Person Shooter , Shooter;;0;PC
Code Name Teacher;Jul 12, 2024;;;Action , Role-Playing , Simulation;;0;PC
Holidays;Jul 12, 2024;;;Action-Adventure;;0;PC
The Last Alchemist;Jul 12, 2024;Vile Monarch;Marvelous Europe Limited;Adventure , Simulation;;0;PC
REVEREND;Jul 15, 2024;;;First-Person Shooter;;0;PC
Supernatural;Jul 15, 2024;;;Action , Adventure , Horror;;0;PC
Aerial_Knight's We Never Yield;Jul 16, 2024;;;Action , Adventure , Platformer;;0;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Criminal Archives Blade of Deceit Collectors Edition;Jul 16, 2024;Do Games Limited;Do Games Limited;Adventure , Puzzle;;0;PC
Evil v Evil;Jul 16, 2024;Toadman Interactive;Toadman Interactive;Action-Adventure;;0;PC
Grim Tales All Shades of Black Collectors Edition;Jul 16, 2024;Elephant Games;Big Fish Games;Adventure , Puzzle;;0;Mac, PC
Hot Lap Racing;Jul 16, 2024;Zero Games Studios;Maximum Entertainment;Driving/Racing , Simulation , Sports;;0;Nintendo Switch, PC
Mech Builder;Jul 16, 2024;;;Puzzle , Simulation;;0;PC
Brazen Blaze;Jul 18, 2024;MyDearest Inc,;MyDearest Inc,;Action , Fighting;;0;Meta Quest
Meifumado;Jul 18, 2024;;;;;0;
Over Horizon + Steel Empire;Jul 18, 2024;Hot-B Co,, Ltd, , Mebius , Starfish;Inin Games;Compilation , Shoot 'Em Up;;0;Nintendo Switch, PlayStation 4
Powerful Pro Yakyū 2024-2025;Jul 18, 2024;Pawapuro Production;Konami Corporation;Baseball;Jikkyou Powerful Pro Yakyuu;0;Nintendo Switch, PlayStation 4
Escape from Ever After: Onboarding;Jul 19, 2024;Sleepy Castle Studio;HypeTrain Digital;Role-Playing;;0;PC
Krypta FM;Jul 19, 2024;Under The Sink Studio;Under The Sink Studio;Adventure;;0;PC
Taxi Rush;Jul 19, 2024;Clap Games;Clap Games;Action , Driving/Racing;;0;PC
Toree's Panic Pack;Jul 19, 2024;Diplodocus , Siactro , kalliros;Siactro;Compilation , Platformer;Toree;0;Nintendo Switch, PC
DC Task force;Jul 24, 2024;;;Brawler;;0;PC
Dreamsweeper;Jul 24, 2024;Etherlight , Oatmello;Etherlight;Puzzle , Role-Playing;;0;Mac, PC
Enchantment 2 Suns Tear;Jul 24, 2024;Seven Sails;Seven Sails;Puzzle;;0;PC
Farlands;Jul 24, 2024;Eric Rodríguez , JanduSoft;JanduSoft;Simulation;;0;PC
Anpanman Touch de Enjoy! AIUEO Kyōshitsu for Nintendo Switch;Jul 25, 2024;Agatsuma Entertainment;Pinocchio;Educational;Anpanman;0;Nintendo Switch
Ao Oni -Ai's Story-;Jul 25, 2024;;;Action , Adventure , Horror;;0;Nintendo Switch, PC
Crash Time - Undercover;Jul 25, 2024;Synetic GmbH;;Action , Driving/Racing;;0;PC
Cyber Internet Club Simulator;Jul 25, 2024;EchoVerse Core;Midnight Games;Simulation;;0;PC
Game of Thrones: Legends;Jul 25, 2024;Zynga;Zynga;Puzzle , Role-Playing;Game of Thrones;0;Android, iPhone
Kemco RPG Selection Vol, 12;Jul 25, 2024;Kemco;Exe-Create;Compilation , Role-Playing;Kemco RPG Selection;0;PlayStation 4, PlayStation 5
The Legend of the Dragonflame High School 3;Jul 25, 2024;Hunters;Hunters;Brawler;The Legend of the Dragonflame High School;0;Nintendo Switch
Abnormal1999;Jul 26, 2024;;;Adventure , Puzzle , Simulation;;0;PC
Abnormal1999 Sector 49;Jul 26, 2024;;;Adventure , Puzzle;;0;PC
Ariel;Jul 27, 2024;;;Action , Adventure , First-Person Shooter , Simulation;;0;PC
Space for Sale;Jul 30, 2024;Mirage Game Studios;Mirage Game Studios , Nordic Games Publishing AB;Simulation;;0;PC
The Dragon Prince: Xadia;Jul 30, 2024;Wonderstorm;Netflix;Action , Role-Playing;;0;Android, iPad, iPhone
Dawnmaker;Jul 31, 2024;Arpentor Studio;Arpentor Studio;Strategy;;0;Linux, PC
Tokyo Chronos & Altdeus: Beyond Chronos Twin Pack;Jul 31, 2024;Izanagi Games Co,, Ltd, , MyDearest Inc,;Izanagi Games Co,, Ltd,;Adventure;Chronos series;0;Nintendo Switch
Closer the Distance;Aug 2, 2024;Osmotic Studios;;Simulation;;0;PC
Total Extreme Wrestling IX;Aug 3, 2024;Grey Dog Software;Grey Dog Software;Simulation , Wrestling;Extreme Warfare;0;PC
Orbals;Aug 4, 2024;;;;;0;Nintendo Switch, PC, PlayStation 4, Xbox One, Xbox Series X|S
Power Rangers Mighty Force;Aug 5, 2024;East Side Games;East Side Games;Action;Power Rangers;0;Android, iPhone
Violent Horror Stories: Anthology;Aug 6, 2024;;;Action , Horror , Puzzle , Simulation;;0;PC
Dungeons & Degenerate Gamblers;Aug 8, 2024;Purple Moss Collectors;The Yogscast;Card Game;;0;Linux, Mac, PC
JDM: Rise of the Scorpion;Aug 8, 2024;Gaming Factory S,A,;Gaming Factory S,A,;Driving/Racing , Simulation , Sports;;0;PC
That Time I Got Reincarnated as a Slime ISEKAI Chronicles;Aug 8, 2024;ZOC Co,,Ltd,;Namco Bandai Games Inc,;Role-Playing;That Time I Got Reincarnated as a Slime;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Train Valley World;Aug 9, 2024;Flazm Interactive;tinyBuild;Simulation , Strategy;;0;Mac, PC
Vladik Brutal;Aug 9, 2024;Narko Games;;First-Person Shooter;;0;PC
FOOTAGE BODYCAM;Aug 12, 2024;;;Action , First-Person Shooter , Strategy;;0;PC
CYBERMATRIX;Aug 13, 2024;TIM entertainment;TIM entertainment;Action;;0;PC
Dark and Deep;Aug 13, 2024;Walter Woods;Walter Woods;Adventure;;0;PC
Backrooms The Labyrinth;Aug 14, 2024;;;Action-Adventure , Simulation;;0;PC
DIMENSIONS - DEFINITIVE EDITION;Aug 14, 2024;Villano Wild Studio;Villano Wild Studio;Action , Adventure , Shooter;;0;PC
Hellbreach: Vegas;Aug 14, 2024;Infinity Ape Studios;Iceberg Interactive;First-Person Shooter;;0;PC
Memento Mori;Aug 14, 2024;;;Adventure , Simulation;;0;PC
Pub Sim;Aug 14, 2024;1st Impact Games;;Simulation;;0;PC
Cyborg3003;Aug 15, 2024;Rodrigo Banzato;Rodrigo Banzato;Action , Adventure;;0;PC
Dawn of Defiance;Aug 15, 2024;Traega Entertainment;Traega Entertainment;Action-Adventure;;0;PC
The Precinct;Aug 15, 2024;Fallen Tree Games;Kwalee;Action , Simulation;;0;PC
House Of Golf 2;Aug 16, 2024;;;Sports;;0;PC
Tiebreak: The Official Game of the ATP and WTA;Aug 19, 2024;Big Ant Studios Pty Ltd;Bigben Interactive GmbH;Tennis;;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Inti Creates Gold Archive Collection;Aug 20, 2024;Inti Creates Co,, Ltd,;Inti Creates Co,, Ltd,;Compilation;;0;Nintendo Switch
Harlots Diary;Aug 23, 2024;;;Puzzle , Simulation , Strategy;;0;Linux, PC
Echoes of The Backrooms;Aug 24, 2024;;;Adventure , Horror;;0;PC
Commando Hero 2 First Blood;Aug 26, 2024;Montee Games;Montee Games;Action-Adventure , Shooter;;0;PC
False Mall;Aug 26, 2024;;;Adventure , Puzzle;;0;PC
GENBA no Kizuna;Aug 26, 2024;;;Adventure , Visual Novel;;0;Linux, Mac, PC
Difference;Aug 28, 2024;;;Action , Adventure , Horror , Puzzle;;0;PC
Ninza;Aug 28, 2024;Klakmioch;Klakmioch;Fighting , Platformer;;0;PC
Death in Unison;Aug 29, 2024;Blank Dream Studios;Blank Dream Studios;Simulation;;0;PC
Forklift Simulator;Aug 29, 2024;;AEROSOFT Corporation;Simulation;;0;PC
Leo: The Firefighter Cat;Aug 29, 2024;Honikou;Maximum Games;Adventure , Platformer , Shooter , Simulation;;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Date Z;Aug 30, 2024;Mass Creation;We Dig Games;Adventure , Role-Playing , Simulation;;0;Linux, Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Forest God;Aug 30, 2024;;Mikomp Inc;;;0;PC
Thalamus Collection 1;Aug 30, 2024;Thalamus;Thalamus;Compilation;;0;Evercade
Yarimono;Aug 30, 2024;;;Adventure , Role-Playing;;0;PC
Wukong's Child: Monkey King Myth;Sep 2, 2024;;;Action;;0;Nintendo Switch, Xbox One, Xbox Series X|S
Wukong's Child: Monkey King Myths;Sep 2, 2024;Mubis Apps;Kanuni Games , Mubis Apps;Action;;0;Nintendo Switch, Xbox One
Parcel Corps;Sep 3, 2024;Billy Goat Entertainment Ltd;Secret Mode;Action;;0;PC
Book Travelers A Royal Story Collectors Edition;Sep 4, 2024;Big Fish Games;Big Fish Games;Adventure , Minigame Collection , Puzzle;;0;PC
Elon and the Divine Proof;Sep 4, 2024;;;Adventure , Platformer;;0;PC, Xbox One, Xbox Series X|S
Garbanzo Quest;Sep 4, 2024;;;Platformer;;0;PC
Garlant My Story;Sep 4, 2024;;;Adventure , Role-Playing , Shooter , Simulation;;0;Nintendo Switch, PC
Northend Tower Defense;Sep 4, 2024;;Gamersky;Strategy;;0;PC
Cato;Sep 5, 2024;Team Woll;GCORES PUBLISHING;Platformer , Puzzle;;0;Linux, Mac, PC
G-Mode Archives+: Bokujō Monogatari: Life & Love;Sep 5, 2024;Natsume;G-mode, Inc,;Role-Playing , Simulation;Bokujō Monogatari , G-Mode Archives;0;Nintendo Switch, PC
CalorieMate Liquid For Game Creators;Sep 11, 2024;;;Platformer;;0;PC
Crossroads Fatal Truths Collectors Edition;Sep 11, 2024;Big Fish Games;Big Fish Games;Adventure , Puzzle;;0;Android, Mac, PC, iPad, iPhone
Demolish & Build 3;Sep 11, 2024;Demolish Games S,A,;Demolish Games S,A,;Action , Adventure , Simulation , Strategy;;0;Nintendo Switch, PC, PlayStation 5, Xbox One, Xbox Series X|S
The Adventure of Ninomae Ina'nis;Sep 11, 2024;;;Shoot 'Em Up;;0;PC
Cat God Ranch;Sep 12, 2024;;;Card Game , Simulation , Strategy;;0;NEC PC-9801
Grapple Dogs: Cosmic Canines;Sep 12, 2024;Medallion Games;Super Rare Games;Platformer;;0;Nintendo Switch, PC, Xbox Series X|S
Tenshi no Uta Collection;Sep 12, 2024;Riot;Edia;Compilation , Role-Playing;Tenshi no Uta;0;Nintendo Switch
The Hokkaido Serial Murder Case: The Okhotsk Disappearance ~Memories in Ice, Tearful Figurine~;Sep 12, 2024;Armor Project , GAME STUDIO Inc, , Kadokawa Games , room6 LLC,;G-mode, Inc,;Adventure;Yuji Horii Mysteries;0;Nintendo Switch, PC
Hamsterball Potatos Great Escape;Sep 13, 2024;;;Action , Adventure;;0;PC
How We Die;Sep 13, 2024;;PsychoFlux Entertainment;Action , Adventure , Card Game;;0;PC
Shroom and Gloom;Sep 13, 2024;;;Card Game;;0;PC
Abnormal1999 The Compass and the Sand;Sep 15, 2024;;;Adventure , Horror , Puzzle;;0;PC
American Truck Simulator - Arkansas;Sep 16, 2024;SCS Software;SCS Software;Driving/Racing , Simulation;;0;PC
Fairy Tail: Beach Volleyball Havoc;Sep 16, 2024;Tiny Cactus Studio;Kodansha Ltd,;Sports;Fairy Tail;0;PC
Hands of Necromancy II;Sep 16, 2024;;;Action , First-Person Shooter;;0;PC
"Death end re;Quest: Code Z";Sep 18, 2024;Compile Heart, Inc,;Idea Factory;Role-Playing;Galapagos RPG;0;Nintendo Switch, PlayStation 4, PlayStation 5
Train Sim World 5;Sep 18, 2024;Dovetail Games;Dovetail Games;Simulation;Train Sim World;0;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Anno 1800 - Pirate Cove Pack;Sep 18, 2024;;;;;0;PC
Sammy Jukes: Twin Lakes;Sep 19, 2024;;;Adventure;;0;PC
Tetsudou Nippon! Rosen Tabi EX: Tozan Densha Odakyu Hakone-hen;Sep 19, 2024;Sonic Powered Co,,Ltd,;Sonic Powered Co,,Ltd,;Driving/Racing , Simulation;Japanese Rail Sim;0;Nintendo Switch, PC, PlayStation 4
Faaast Penguin;Sep 20, 2024;historia Inc,;historia Inc,;Driving/Racing;;0;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Matchbox Driving Adventures;Sep 20, 2024;Casual Brothers Games;Outright Games;Driving/Racing;Matchbox;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Poppy Playtime: Chapter 2;Sep 20, 2024;MOB Games;MOB Games;Adventure , Puzzle;Playtime;0;Nintendo Switch, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Pretty Girls Game Collection 4;Sep 20, 2024;ZOO Corporation;Funbox Media Ltd, , eastasiasoft;Compilation , Puzzle;Pretty Girls;0;Nintendo Switch, PlayStation 4
BRAZILIAN DRUG DEALER 3: I OPENED A PORTAL TO HELL IN THE FAVELA TRYING TO REVIVE MIT AIA I NEED TO CLOSE IT;Sep 21, 2024;;;First-Person Shooter;;0;PC
Class of 09 The Flip Side;Sep 23, 2024;;;Visual Novel;;0;Mac, PC
Cursed Fables Before the Clock Strikes Collectors Edition;Sep 23, 2024;Elephant AR;Big Fish Games;Adventure , Puzzle;;0;Mac, PC
Echo Point Nova;Sep 24, 2024;Greylock Studio;Greylock Studio;First-Person Shooter;;0;PC
Tales Up;Sep 24, 2024;;;Adventure , Role-Playing;;0;Android, PC, iPhone
The Forever Winter;Sep 24, 2024;Fun Dog Studios;Fun Dog Studios;Shooter;;0;PC
9th Dawn Remake;Sep 25, 2024;Valorware;Valorware;Action , Role-Playing;9th Dawn;0;PC
Cat Rescue Story;Sep 26, 2024;Tivola International, LLC;Bigben Interactive GmbH;Role-Playing;;0;Nintendo Switch, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Refuted Wind;Sep 26, 2024;;;Horror;;0;PC
Hotel 12th;Sep 27, 2024;;;Adventure , Horror , Puzzle , Simulation;;0;PC
NHL 25;Sep 27, 2024;EA Vancouver;EA Sports;Hockey;NHL , NHL;0;PlayStation 5, Xbox Series X|S
Natsu no Sagashimono ~What We Found That Summer~;Sep 27, 2024;;Kagura Games;Role-Playing , Simulation , Visual Novel;;0;PC
Infinite Blue;Sep 30, 2024;Gluten Free Games;Gluten Free Games;Simulation;;0;Mac, PC
Legacy of Kain Collection;Sep 30, 2024;Crystal Dynamics, Inc, , Silicon Knights, Inc,;Square Enix;Compilation;Legacy of Kain;0;Evercade
Thyria;Sep 30, 2024;;;Role-Playing , Strategy;;0;PC
A Corgi's Cozy Hike;Oct 1, 2024;Scalisco;Scalisco;Action-Adventure , Platformer;;0;Mac, PC
Agent Simulator;Oct 1, 2024;Studio Gamebit;Studio Gamebit;Action;;0;Meta Quest, PC
Aim Camp;Oct 1, 2024;;;Action , First-Person Shooter , Shooter , Simulation;;0;PC
Ark II;Oct 1, 2024;Studio Wildcard;Studio Wildcard;Action-Adventure;ARK;0;PC
Deep Rock Galactic: Rogue Core;Oct 1, 2024;Ghost Ship Games;Ghost Ship Publishing;First-Person Shooter;Deep Rock Galactic;0;PC
Detective Dotson;Oct 1, 2024;Masala Games Private Limited;Masala Games Private Limited;Adventure;;0;PC
Flea!2;Oct 1, 2024;Lowtek Games;Lowtek Games;Platformer;Flea!;0;Dreamcast, Evercade, Nintendo Entertainment System, PC
Forever Space: First Person Edition;Oct 1, 2024;Pinhead Games;Pinhead Games;Adventure;;0;PC
Guntouchables;Oct 1, 2024;game swing;game swing;Action;;0;PC
Holstin;Oct 1, 2024;SONKA;SONKA;Action , Horror;;0;PC
Light Odyssey;Oct 1, 2024;SSUN Games;Gravity , SSUN Games;Action;;0;PC
