Titre;Date de sortie;D�veloppeur;Editeur;Genres;Franchise;Note Moyenne;Plateformes
World of Goo 2;Aug 2, 2024;2D Boy , Tomorrow Corporation;Tomorrow Corporation;Puzzle;World of Goo;3,81;Nintendo Switch, PC
Nintendo World Championships: NES Edition;Jul 18, 2024;;Nintendo;Compilation , Minigame Collection;Nintendo World Championships;3,55;Nintendo Switch
Shogun Showdown;Sep 5, 2024;;Gamera Game , Goblinz Studio;Strategy;;3,65;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Tiny Glade;Sep 23, 2024;Pounce Light;Pounce Light;Simulation;;3,7;Linux, PC
Monument Valley III;Dec 10, 2024;ustwo games;Netflix;Puzzle;Monument Valley;3,95;
Momodora: Moonlit Farewell;Jan 11, 2024;Bombservice;Playism;Action-Adventure , Platformer;Momodora;3,42;PC
Foamstars;Feb 6, 2024;Square Enix;Square Enix;Action , Shooter;;2,32;PlayStation 4, PlayStation 5
Hauntii;May 23, 2024;Moonloop Games;Firestoke;Action-Adventure;;3,11;Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Apollo Justice: Ace Attorney Trilogy;Jan 25, 2024;Capcom;Capcom;Adventure , Compilation;Ace Attorney;4,11;Nintendo Switch, PC, PlayStation 4, Xbox One
South Park: Snow Day;Mar 26, 2024;Question Games;Nordic Games Publishing AB;Action;South Park;1,78;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Arranger: A Role-Puzzling Adventure;Jul 25, 2024;Furniture & Mattress;Furniture & Mattress;Puzzle , Role-Playing;;3,22;PC
Ravenswatch;Sep 26, 2024;Passtech Games;Bigben Interactive GmbH;Action;;3,61;PC, PlayStation 5, Xbox Series X|S
Metal Slug Tactics;Nov 5, 2024;DotEmu , Leikir Studio;DotEmu , Gamera Game , SNK Playmore;Strategy;Metal Slug;3,33;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
No Rest for the Wicked;Apr 18, 2024;Moon Studios;Private Division;Action , Role-Playing;;3,53;PC, PlayStation 5, Xbox Series X|S
Gestalt: Steam & Cinder;Jul 16, 2024;Metamorphosis Games;Sold Out;Action , Platformer;;3,53;Nintendo Switch, PC
Visions of Mana;Aug 29, 2024;;Square Enix;Role-Playing;World of Mana;3,71;PC, PlayStation 4, PlayStation 5, Xbox Series X|S
Romancing SaGa 2: Revenge of the Seven;Oct 24, 2024;Square Enix , xeen Inc,;Square Enix;Role-Playing;SaGa;4,24;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Anomaly Agent;Jan 24, 2024;;;Action;;3,81;PC
Arzette: The Jewel of Faramore;Feb 14, 2024;Seedy Eye Software;Limited Run Games;Action-Adventure , Platformer;;3,38;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S
Minami Lane;Feb 28, 2024;Blibloop , Doot;Doot;Simulation;;3,94;Linux, Mac, PC
The Operator;Jul 22, 2024;Bureau 81;Bureau 81 , indienova;Adventure , Simulation;;3,94;Linux, Mac, PC
Arco;Aug 15, 2024;Bibiki , Franek , Fáyer , Max Cahill;Panic;Role-Playing , Strategy;;3,75;Mac, Nintendo Switch, PC
Dead Rising Deluxe Remaster;Sep 19, 2024;Capcom;Capcom;Action;Dead Rising;3,88;PC, PlayStation 5, Xbox Series X|S
Webfishing;Oct 11, 2024;lamedeveloper;lamedeveloper;Fishing , Simulation;;3,5;PC
AFK Journey;Mar 27, 2024;Farlight Games Industry , Lilith Games;Farlight Games Industry;Adventure , Role-Playing , Strategy;;3,67;Android, PC, iPad, iPhone
Rabbit and Steel;May 9, 2024;mino_dev LLC;mino_dev LLC;Action , Shoot 'Em Up;;4,07;PC
Fields of Mistria;Aug 5, 2024;NPC Studio;NPC Studio;Role-Playing , Simulation;;4,53;PC
Dustborn;Aug 20, 2024;Red Thread Games;Red Thread Games;Action , Adventure , Music/Rhythm;;1,8;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Ace Attorney Investigations Collection;Sep 6, 2024;Capcom;Capcom;Adventure , Compilation;Ace Attorney;4,6;Nintendo Switch, PC, PlayStation 4, Xbox One
Caravan SandWitch;Sep 12, 2024;Studio Plane Toast;Dear Villagers;Adventure;;3,73;PC
Go Mecha Ball;Jan 25, 2024;Whale Peak Games;Super Rare Games;Action , Action-Adventure , Shoot 'Em Up , Shooter;;3;PC, Xbox One, Xbox Series X|S
Sand Land;Apr 25, 2024;ILCA;Namco Bandai Games Inc,;Action-Adventure;;2,93;PC, PlayStation 4, PlayStation 5, Xbox Series X|S
Arctic Eggs;May 16, 2024;;Critical Reflex;Simulation;;3,93;PC
Tiny Terry's Turbo Trip;May 30, 2024;snekflat;Super Rare Games;Adventure , Role-Playing;;3,79;PC
Five Nights at Freddy's: Into the Pit;Aug 8, 2024;Mega Cat Studios;Mega Cat Studios;Adventure;Five Nights at Freddy's;3,71;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Concord;Aug 23, 2024;Firewalk Studios , PlayStation Studios;PlayStation Publishing LLC , Sony Computer Entertainment America;First-Person Shooter;;2,21;PC, PlayStation 5
TCG Card Shop Simulator;Sep 15, 2024;OPNeon Games;OPNeon Games;Simulation;;3,14;PC
Echo Point Nova;Sep 24, 2024;Greylock Studio;Greylock Studio;Shooter;;4;PC
Slitterhead;Nov 8, 2024;Bokeh Game Studio;Bokeh Game Studio;Action-Adventure;;3,43;PC, PlayStation 4, PlayStation 5, Xbox Series X|S
Poppy Playtime - Chapter 3;Jan 01, 2024;;;;;3,46;PC
MLB The Show 24;Mar 19, 2024;SCE Studios San Diego;MLB,com , Sony Computer Entertainment America;Baseball;MLB , MLB: The Show;3,31;Nintendo Switch, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Yellow Taxi Goes Vroom;Apr 9, 2024;Panik Arcade;Those Awesome Guys;Platformer;;3,85;PC
Isles of Sea and Sky;May 22, 2024;Jason Newman;Jason Newman;Puzzle;;3,92;Linux, Mac, Nintendo Switch, PC
Flock;Jul 16, 2024;Hollow Ponds , Richard Hogg;Annapurna Interactive;Adventure;;3,23;Mac, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Bo: Path of the Teal Lotus;Jul 17, 2024;Christopher Stair , Trevor Youngquist;Squid Shock Studios;Action , Action-Adventure;;4,08;Nintendo Switch, PC
Sorry We're Closed;Nov 14, 2024;à la mode games;Akupara Games;Horror;;3,92;PC
Hollowbody;Jan 01, 2024;Headware Games;Headware Games;Action-Adventure;;2,58;PC
The Wolf Among Us: Season 2;Jan 01, 2024;AdHoc Studio , Telltale Games;Telltale Games;Adventure;The Wolf Among Us;4,08;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Rental;Mar 7, 2024;;;Adventure , Horror;;3;PC
Riven;Jun 25, 2024;Cyan Worlds, Inc,;Cyan Worlds, Inc,;Adventure , Puzzle;Myst;4,67;Mac, Meta Quest, PC
Conscript;Jul 23, 2024;Catchweight Studio , Jordan Mochi;Catchweight Studio , Team17 Software Limited;Action-Adventure , Puzzle;;3,67;PC
Castlevania Dominus Collection;Aug 27, 2024;Konami Corporation;Konami Corporation;Action-Adventure , Compilation;Castlevania;4,5;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Gori: Cuddly Carnage;Aug 29, 2024;Angry Demon Studio;Angry Demon Studio , Wired Productions;Action-Adventure;;3,17;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
I Am Your Beast;Sep 10, 2024;Strange Scaffold;Strange Scaffold , The Frosty Pop Corps Inc,;Shooter;;4,08;PC
Bloomtown: A Different Story;Sep 24, 2024;Different Sense Games , Lazy Bear Games;Asmodee Digital;Role-Playing;;3,08;PC
Awaria;Dec 16, 2024;vanripper;vanripper;Action;;3,75;PC
Boxes: Lost Fragments;Feb 1, 2024;Big Loop Studios;Snapbreak;Puzzle;;3,36;Android, PC, iPhone
Splatoon 3: Side Order;Feb 22, 2024;Nintendo EPD;Nintendo;Shooter;Splatoon;4;Nintendo Switch
#BLUD;Jun 18, 2024;Exit 73 Studios;Humble Games;Action-Adventure , Role-Playing;;2,45;PC
